source,target,key,attributes
uniredpill,Far-right / Neo-fascist Worldview_Hostility,1509,"{""""color"""":""""#d97dd8"""",""""weight"""":10,""""emotion"""":""""Hostility""""}"
uniredpill,Far-right / Neo-fascist Worldview_Superiority,1510,"{""""color"""":""""#8cb900"""",""""weight"""":1,""""emotion"""":""""Superiority""""}"
uniredpill,Manosphere Practices_Hostility,1511,"{""""color"""":""""#d97dd8"""",""""weight"""":1,""""emotion"""":""""Hostility""""}"
uniredpill,Manosphere Practices_Superiority,1512,"{""""color"""":""""#8cb900"""",""""weight"""":1,""""emotion"""":""""Superiority""""}"
uniredpill,Self-improvement Discourses_Neutral,1513,"{""""color"""":""""#00c7ff"""",""""weight"""":1,""""emotion"""":""""Neutral""""}"
Rettorino,Manosphere Practices_Entitlement,1514,"{""""color"""":""""#ff7045"""",""""weight"""":10,""""emotion"""":""""Entitlement""""}"
Rettorino,Manosphere Practices_Superiority,1515,"{""""color"""":""""#8cb900"""",""""weight"""":25,""""emotion"""":""""Superiority""""}"
Rettorino,Manosphere Practices_Neutral,1516,"{""""color"""":""""#00c7ff"""",""""weight"""":20,""""emotion"""":""""Neutral""""}"
Rettorino,Manosphere Practices_Resignation,1517,"{""""color"""":""""#23966f"""",""""weight"""":4,""""emotion"""":""""Resignation""""}"
Rettorino,Manosphere Practices_Hostility,1518,"{""""color"""":""""#d97dd8"""",""""weight"""":13,""""emotion"""":""""Hostility""""}"
Rettorino,Self-improvement Discourses_Entitlement,1519,"{""""color"""":""""#ff7045"""",""""weight"""":2,""""emotion"""":""""Entitlement""""}"
Rettorino,Self-improvement Discourses_Neutral,1520,"{""""color"""":""""#00c7ff"""",""""weight"""":1,""""emotion"""":""""Neutral""""}"
Rettorino,Far-right / Neo-fascist Worldview_Hostility,1521,"{""""color"""":""""#d97dd8"""",""""weight"""":1,""""emotion"""":""""Hostility""""}"
ingodwetr,Manosphere Practices_Superiority,1522,"{""""color"""":""""#8cb900"""",""""weight"""":13,""""emotion"""":""""Superiority""""}"
ingodwetr,Manosphere Practices_Hostility,1523,"{""""color"""":""""#d97dd8"""",""""weight"""":10,""""emotion"""":""""Hostility""""}"
ingodwetr,Manosphere Practices_Neutral,1524,"{""""color"""":""""#00c7ff"""",""""weight"""":7,""""emotion"""":""""Neutral""""}"
ingodwetr,Manosphere Practices_Entitlement,1525,"{""""color"""":""""#ff7045"""",""""weight"""":1,""""emotion"""":""""Entitlement""""}"
ingodwetr,Manosphere Practices_Resignation,1526,"{""""color"""":""""#23966f"""",""""weight"""":1,""""emotion"""":""""Resignation""""}"
ingodwetr,Self-improvement Discourses_Entitlement,1527,"{""""color"""":""""#ff7045"""",""""weight"""":2,""""emotion"""":""""Entitlement""""}"
ingodwetr,Self-improvement Discourses_Neutral,1528,"{""""color"""":""""#00c7ff"""",""""weight"""":1,""""emotion"""":""""Neutral""""}"
ingodwetr,Self-improvement Discourses_Hostility,1529,"{""""color"""":""""#d97dd8"""",""""weight"""":1,""""emotion"""":""""Hostility""""}"
ingodwetr,Far-right / Neo-fascist Worldview_Hostility,1530,"{""""color"""":""""#d97dd8"""",""""weight"""":3,""""emotion"""":""""Hostility""""}"
ingodwetr,Far-right / Neo-fascist Worldview_Neutral,1531,"{""""color"""":""""#00c7ff"""",""""weight"""":1,""""emotion"""":""""Neutral""""}"
ingodwetr,Far-right / Neo-fascist Worldview_Superiority,1532,"{""""color"""":""""#8cb900"""",""""weight"""":2,""""emotion"""":""""Superiority""""}"
volpecortese,Far-right / Neo-fascist Worldview_Hostility,1533,"{""""color"""":""""#d97dd8"""",""""weight"""":14,""""emotion"""":""""Hostility""""}"
volpecortese,Manosphere Practices_Neutral,1534,"{""""color"""":""""#00c7ff"""",""""weight"""":1,""""emotion"""":""""Neutral""""}"
volpecortese,Manosphere Practices_Entitlement,1535,"{""""color"""":""""#ff7045"""",""""weight"""":1,""""emotion"""":""""Entitlement""""}"
volpecortese,Self-improvement Discourses_Neutral,1536,"{""""color"""":""""#00c7ff"""",""""weight"""":1,""""emotion"""":""""Neutral""""}"
FocaProtonica,Self-improvement Discourses_Neutral,1537,"{""""color"""":""""#00c7ff"""",""""weight"""":4,""""emotion"""":""""Neutral""""}"
FocaProtonica,Self-improvement Discourses_Superiority,1538,"{""""color"""":""""#8cb900"""",""""weight"""":2,""""emotion"""":""""Superiority""""}"
FocaProtonica,Self-improvement Discourses_Entitlement,1539,"{""""color"""":""""#ff7045"""",""""weight"""":3,""""emotion"""":""""Entitlement""""}"
FocaProtonica,Self-improvement Discourses_Resignation,1540,"{""""color"""":""""#23966f"""",""""weight"""":1,""""emotion"""":""""Resignation""""}"
FocaProtonica,Manosphere Practices_Resignation,1541,"{""""color"""":""""#23966f"""",""""weight"""":2,""""emotion"""":""""Resignation""""}"
FocaProtonica,Manosphere Practices_Entitlement,1542,"{""""color"""":""""#ff7045"""",""""weight"""":1,""""emotion"""":""""Entitlement""""}"
FocaProtonica,Manosphere Practices_Hostility,1543,"{""""color"""":""""#d97dd8"""",""""weight"""":10,""""emotion"""":""""Hostility""""}"
FocaProtonica,Manosphere Practices_Superiority,1544,"{""""color"""":""""#8cb900"""",""""weight"""":12,""""emotion"""":""""Superiority""""}"
FocaProtonica,Manosphere Practices_Neutral,1545,"{""""color"""":""""#00c7ff"""",""""weight"""":11,""""emotion"""":""""Neutral""""}"
FocaProtonica,Far-right / Neo-fascist Worldview_Entitlement,1546,"{""""color"""":""""#ff7045"""",""""weight"""":6,""""emotion"""":""""Entitlement""""}"
FocaProtonica,Far-right / Neo-fascist Worldview_Hostility,1547,"{""""color"""":""""#d97dd8"""",""""weight"""":3,""""emotion"""":""""Hostility""""}"
FocaProtonica,Far-right / Neo-fascist Worldview_Neutral,1548,"{""""color"""":""""#00c7ff"""",""""weight"""":1,""""emotion"""":""""Neutral""""}"
incel_aidigino,Manosphere Practices_Hostility,1549,"{""""color"""":""""#d97dd8"""",""""weight"""":43,""""emotion"""":""""Hostility""""}"
incel_aidigino,Manosphere Practices_Entitlement,1550,"{""""color"""":""""#ff7045"""",""""weight"""":13,""""emotion"""":""""Entitlement""""}"
incel_aidigino,Manosphere Practices_Superiority,1551,"{""""color"""":""""#8cb900"""",""""weight"""":11,""""emotion"""":""""Superiority""""}"
incel_aidigino,Manosphere Practices_Neutral,1552,"{""""color"""":""""#00c7ff"""",""""weight"""":14,""""emotion"""":""""Neutral""""}"
incel_aidigino,Manosphere Practices_Resignation,1553,"{""""color"""":""""#23966f"""",""""weight"""":4,""""emotion"""":""""Resignation""""}"
incel_aidigino,Self-improvement Discourses_Entitlement,1554,"{""""color"""":""""#ff7045"""",""""weight"""":8,""""emotion"""":""""Entitlement""""}"
incel_aidigino,Self-improvement Discourses_Superiority,1555,"{""""color"""":""""#8cb900"""",""""weight"""":1,""""emotion"""":""""Superiority""""}"
incel_aidigino,Self-improvement Discourses_Resignation,1556,"{""""color"""":""""#23966f"""",""""weight"""":1,""""emotion"""":""""Resignation""""}"
incel_aidigino,Self-improvement Discourses_Neutral,1557,"{""""color"""":""""#00c7ff"""",""""weight"""":2,""""emotion"""":""""Neutral""""}"
incel_aidigino,Far-right / Neo-fascist Worldview_Hostility,1558,"{""""color"""":""""#d97dd8"""",""""weight"""":24,""""emotion"""":""""Hostility""""}"
incel_aidigino,Far-right / Neo-fascist Worldview_Entitlement,1559,"{""""color"""":""""#ff7045"""",""""weight"""":2,""""emotion"""":""""Entitlement""""}"
Padanius2,Manosphere Practices_Superiority,1560,"{""""color"""":""""#8cb900"""",""""weight"""":2,""""emotion"""":""""Superiority""""}"
Padanius2,Manosphere Practices_Hostility,1561,"{""""color"""":""""#d97dd8"""",""""weight"""":2,""""emotion"""":""""Hostility""""}"
Padanius2,Manosphere Practices_Neutral,1562,"{""""color"""":""""#00c7ff"""",""""weight"""":1,""""emotion"""":""""Neutral""""}"
Padanius2,Far-right / Neo-fascist Worldview_Hostility,1563,"{""""color"""":""""#d97dd8"""",""""weight"""":2,""""emotion"""":""""Hostility""""}"
Padanius2,Self-improvement Discourses_Neutral,1564,"{""""color"""":""""#00c7ff"""",""""weight"""":1,""""emotion"""":""""Neutral""""}"
TitvsImperator,Self-improvement Discourses_Neutral,1565,"{""""color"""":""""#00c7ff"""",""""weight"""":1,""""emotion"""":""""Neutral""""}"
TitvsImperator,Manosphere Practices_Neutral,1566,"{""""color"""":""""#00c7ff"""",""""weight"""":2,""""emotion"""":""""Neutral""""}"
TitvsImperator,Manosphere Practices_Superiority,1567,"{""""color"""":""""#8cb900"""",""""weight"""":5,""""emotion"""":""""Superiority""""}"
TitvsImperator,Far-right / Neo-fascist Worldview_Hostility,1568,"{""""color"""":""""#d97dd8"""",""""weight"""":8,""""emotion"""":""""Hostility""""}"
